image_file,gender,race,category,setting
/ceo/baseline/ceo_baseline_s0.png,F,asian,ceo,baseline
/ceo/baseline/ceo_baseline_s1.png,F,asian,ceo,baseline
/ceo/baseline/ceo_baseline_s2.png,M,black,ceo,baseline
/ceo/baseline/ceo_baseline_s3.png,M,white,ceo,baseline
/ceo/baseline/ceo_baseline_s4.png,F,asian,ceo,baseline
/ceo/baseline/ceo_baseline_s5.png,M,asian,ceo,baseline
/ceo/baseline/ceo_baseline_s6.png,F,asian,ceo,baseline
/ceo/baseline/ceo_baseline_s7.png,F,asian,ceo,baseline
/ceo/baseline/ceo_baseline_s8.png,F,asian,ceo,baseline
/ceo/baseline/ceo_baseline_s9.png,F,asian,ceo,baseline
/ceo/controlled/ceo_controlled_s0.png,F,white,ceo,controlled
/ceo/controlled/ceo_controlled_s1.png,F,asian,ceo,controlled
/ceo/controlled/ceo_controlled_s2.png,F,white,ceo,controlled
/ceo/controlled/ceo_controlled_s3.png,Both,mixed,ceo,controlled
/ceo/controlled/ceo_controlled_s4.png,F,white,ceo,controlled
/ceo/controlled/ceo_controlled_s5.png,F,white,ceo,controlled
/ceo/controlled/ceo_controlled_s6.png,Both,asian,ceo,controlled
/ceo/controlled/ceo_controlled_s7.png,F,asian,ceo,controlled
/ceo/controlled/ceo_controlled_s8.png,Both,mixed,ceo,controlled
/ceo/controlled/ceo_controlled_s9.png,Both,mixed,ceo,controlled
/nurse/baseline/nurse_baseline_s0.png,F,asian,nurse,baseline
/nurse/baseline/nurse_baseline_s1.png,M,asian,nurse,baseline
/nurse/baseline/nurse_baseline_s2.png,F,asian,nurse,baseline
/nurse/baseline/nurse_baseline_s3.png,F,asian,nurse,baseline
/nurse/baseline/nurse_baseline_s4.png,M,asian,nurse,baseline
/nurse/baseline/nurse_baseline_s5.png,M,asian,nurse,baseline
/nurse/baseline/nurse_baseline_s6.png,M,asian,nurse,baseline
/nurse/baseline/nurse_baseline_s7.png,M,asian,nurse,baseline
/nurse/baseline/nurse_baseline_s8.png,M,asian,nurse,baseline
/nurse/baseline/nurse_baseline_s9.png,M,asian,nurse,baseline
/nurse/controlled/nurse_controlled_s0.png,M,asian,nurse,controlled
/nurse/controlled/nurse_controlled_s1.png,M,asian,nurse,controlled
/nurse/controlled/nurse_controlled_s2.png,M,asian,nurse,controlled
/nurse/controlled/nurse_controlled_s3.png,F,white,nurse,controlled
/nurse/controlled/nurse_controlled_s4.png,Both,mixed,nurse,controlled
/nurse/controlled/nurse_controlled_s5.png,Both,mixed,nurse,controlled
/nurse/controlled/nurse_controlled_s6.png,M,asian,nurse,controlled
/nurse/controlled/nurse_controlled_s7.png,M,asian,nurse,controlled
/nurse/controlled/nurse_controlled_s8.png,F,white,nurse,controlled
/nurse/controlled/nurse_controlled_s9.png,Both,mixed,nurse,controlled
