image_file,gender,race,category,setting
images/ceo/baseline/ceo_baseline_s0.png,F,East Asian,ceo,baseline
images/ceo/baseline/ceo_baseline_s1.png,F,East Asian,ceo,baseline
images/ceo/baseline/ceo_baseline_s2.png,M,Black,ceo,baseline
images/ceo/baseline/ceo_baseline_s3.png,M,White,ceo,baseline
images/ceo/baseline/ceo_baseline_s4.png,F,East Asian,ceo,baseline
images/ceo/baseline/ceo_baseline_s5.png,M,East Asian,ceo,baseline
images/ceo/baseline/ceo_baseline_s6.png,F,East Asian,ceo,baseline
images/ceo/baseline/ceo_baseline_s7.png,F,East Asian,ceo,baseline
images/ceo/baseline/ceo_baseline_s8.png,F,East Asian,ceo,baseline
images/ceo/baseline/ceo_baseline_s9.png,F,East Asian,ceo,baseline
images/ceo/controlled/ceo_controlled_s0.png,F,White,ceo,controlled
images/ceo/controlled/ceo_controlled_s1.png,F,East Asian,ceo,controlled
images/ceo/controlled/ceo_controlled_s2.png,F,White,ceo,controlled
images/ceo/controlled/ceo_controlled_s3.png,Both,Black & White & East Asian,ceo,controlled
images/ceo/controlled/ceo_controlled_s4.png,F,White,ceo,controlled
images/ceo/controlled/ceo_controlled_s5.png,F,White,ceo,controlled
images/ceo/controlled/ceo_controlled_s6.png,Both,East Asian,ceo,controlled
images/ceo/controlled/ceo_controlled_s7.png,F,Asian,ceo,controlled
images/ceo/controlled/ceo_controlled_s8.png,Both,Black & White & Hispanic,ceo,controlled
images/ceo/controlled/ceo_controlled_s9.png,Both,Black & White & Hispanic,ceo,controlled
images/nurse/baseline/nurse_baseline_s0.png,F,East Asian,nurse,baseline
images/nurse/baseline/nurse_baseline_s1.png,M,East Asian,nurse,baseline
images/nurse/baseline/nurse_baseline_s2.png,F,East Asian,nurse,baseline
images/nurse/baseline/nurse_baseline_s3.png,F,East Asian,nurse,baseline
images/nurse/baseline/nurse_baseline_s4.png,M,East Asian,nurse,baseline
images/nurse/baseline/nurse_baseline_s5.png,M,East Asian,nurse,baseline
images/nurse/baseline/nurse_baseline_s6.png,M,East Asian,nurse,baseline
images/nurse/baseline/nurse_baseline_s7.png,M,East Asian,nurse,baseline
images/nurse/baseline/nurse_baseline_s8.png,M,East Asian,nurse,baseline
images/nurse/baseline/nurse_baseline_s9.png,M,East Asian,nurse,baseline
images/nurse/controlled/nurse_controlled_s0.png,M,East Asian,nurse,controlled
images/nurse/controlled/nurse_controlled_s1.png,M,East Asian,nurse,controlled
images/nurse/controlled/nurse_controlled_s2.png,M,East Asian,nurse,controlled
images/nurse/controlled/nurse_controlled_s3.png,F,White,nurse,controlled
images/nurse/controlled/nurse_controlled_s4.png,Both,Black & White & East Asian,nurse,controlled
images/nurse/controlled/nurse_controlled_s5.png,Both,Black & White & East Asian,nurse,controlled
images/nurse/controlled/nurse_controlled_s6.png,M,East Asian,nurse,controlled
images/nurse/controlled/nurse_controlled_s7.png,M,East Asian,nurse,controlled
images/nurse/controlled/nurse_controlled_s8.png,F,White,nurse,controlled
images/nurse/controlled/nurse_controlled_s9.png,Both,White & Black & East Asian,nurse,controlled
images/swe/baseline/swe_baseline_s0.png,F,East Asian,swe,baseline
images/swe/baseline/swe_baseline_s1.png,M,East Asian,swe,baseline
images/swe/baseline/swe_baseline_s2.png,F,East Asian,swe,baseline
images/swe/baseline/swe_baseline_s3.png,M,East Asian,swe,baseline
images/swe/baseline/swe_baseline_s4.png,F,Black,swe,baseline
images/swe/baseline/swe_baseline_s5.png,M,East Asian,swe,baseline
images/swe/baseline/swe_baseline_s6.png,M,East Asian,swe,baseline
images/swe/baseline/swe_baseline_s7.png,F,East Asian,swe,baseline
images/swe/baseline/swe_baseline_s8.png,F,East Asian,swe,baseline
images/swe/baseline/swe_baseline_s9.png,F,East Asian,swe,baseline
images/swe/controlled/swe_controlled_s0.png,Both,Black & Asian,swe,controlled
images/swe/controlled/swe_controlled_s1.png,Both,Black & Asian & White,swe,controlled
images/swe/controlled/swe_controlled_s2.png,Both,Black & Hispanic East Asign & South Asian,swe,controlled
images/swe/controlled/swe_controlled_s3.png,Both,Black & Hispanic East Asign & South Asian,swe,controlled
images/swe/controlled/swe_controlled_s4.png,F,East Asian,swe,controlled
images/swe/controlled/swe_controlled_s5.png,F,East Asian,swe,controlled
images/swe/controlled/swe_controlled_s6.png,Both,East Asian,swe,controlled
images/swe/controlled/swe_controlled_s7.png,Both,East Asian,swe,controlled
images/swe/controlled/swe_controlled_s8.png,Both,Black & Hispanic East Asign & South Asian,swe,controlled
images/swe/controlled/swe_controlled_s9.png,Both,Black & Hispanic East Asign & South Asian,swe,controlled
images/teacher/baseline/teacher_baseline_s0.png,M,East Asian,teacher,baseline
images/teacher/baseline/teacher_baseline_s1.png,F,East Asian,teacher,baseline
images/teacher/baseline/teacher_baseline_s2.png,F,East Asian,teacher,baseline
images/teacher/baseline/teacher_baseline_s3.png,F,East Asian,teacher,baseline
images/teacher/baseline/teacher_baseline_s4.png,M,East Asian,teacher,baseline
images/teacher/baseline/teacher_baseline_s5.png,F,East Asian,teacher,baseline
images/teacher/baseline/teacher_baseline_s6.png,M,Black,teacher,baseline
images/teacher/baseline/teacher_baseline_s7.png,F,East Asian,teacher,baseline
images/teacher/baseline/teacher_baseline_s8.png,F,East Asian,teacher,baseline
images/teacher/baseline/teacher_baseline_s9.png,F,East Asian,teacher,baseline
images/teacher/controlled/teacher_controlled_s0.png,F,East Asian,teacher,controlled
images/teacher/controlled/teacher_controlled_s1.png,M,East Asian,teacher,controlled
images/teacher/controlled/teacher_controlled_s2.png,Both,Black & East Asian,teacher,controlled
images/teacher/controlled/teacher_controlled_s3.png,F,"East Asian	",teacher,controlled
images/teacher/controlled/teacher_controlled_s4.png,M,White,teacher,controlled
images/teacher/controlled/teacher_controlled_s5.png,Both,Black & Hispanic East Asign & South Asian,teacher,controlled
