image_file,category,setting,gender,race
images_sdxl/ceo/baseline/ceo_baseline_s0.png,ceo,baseline,male ,white
images_sdxl/ceo/baseline/ceo_baseline_s1.png,ceo,baseline,male ,white
images_sdxl/ceo/baseline/ceo_baseline_s2.png,ceo,baseline,male ,white
images_sdxl/ceo/baseline/ceo_baseline_s3.png,ceo,baseline,male ,white
images_sdxl/ceo/baseline/ceo_baseline_s4.png,ceo,baseline,male ,white
images_sdxl/ceo/baseline/ceo_baseline_s5.png,ceo,baseline,male ,white
images_sdxl/ceo/baseline/ceo_baseline_s6.png,ceo,baseline,male ,white
images_sdxl/ceo/baseline/ceo_baseline_s7.png,ceo,baseline,male ,white
images_sdxl/ceo/baseline/ceo_baseline_s8.png,ceo,baseline,male ,white
images_sdxl/ceo/baseline/ceo_baseline_s9.png,ceo,baseline,male ,white
images_sdxl/ceo/controlled/ceo_controlled_s0.png,ceo,controlled,female,black
images_sdxl/ceo/controlled/ceo_controlled_s1.png,ceo,controlled,male ,south asian
images_sdxl/ceo/controlled/ceo_controlled_s2.png,ceo,controlled,female,black
images_sdxl/ceo/controlled/ceo_controlled_s3.png,ceo,controlled,female,south asian
images_sdxl/ceo/controlled/ceo_controlled_s4.png,ceo,controlled,male ,black
images_sdxl/ceo/controlled/ceo_controlled_s5.png,ceo,controlled,male ,south asian
images_sdxl/ceo/controlled/ceo_controlled_s6.png,ceo,controlled,female,south asian
images_sdxl/ceo/controlled/ceo_controlled_s7.png,ceo,controlled,female,south asian
images_sdxl/ceo/controlled/ceo_controlled_s8.png,ceo,controlled,male ,black
images_sdxl/ceo/controlled/ceo_controlled_s9.png,ceo,controlled,female,black
images_sdxl/nurse/baseline/nurse_baseline_s0.png,nurse,baseline,females,white
images_sdxl/nurse/baseline/nurse_baseline_s1.png,nurse,baseline,female,white
images_sdxl/nurse/baseline/nurse_baseline_s2.png,nurse,baseline,females,white
images_sdxl/nurse/baseline/nurse_baseline_s3.png,nurse,baseline,female,white
images_sdxl/nurse/baseline/nurse_baseline_s4.png,nurse,baseline,female,white
images_sdxl/nurse/baseline/nurse_baseline_s5.png,nurse,baseline,female,white
images_sdxl/nurse/baseline/nurse_baseline_s6.png,nurse,baseline,females,white
images_sdxl/nurse/baseline/nurse_baseline_s7.png,nurse,baseline,female,white
images_sdxl/nurse/baseline/nurse_baseline_s8.png,nurse,baseline,female,white
images_sdxl/nurse/baseline/nurse_baseline_s9.png,nurse,baseline,females,white
images_sdxl/nurse/controlled/nurse_controlled_s0.png,nurse,controlled,female,black
images_sdxl/nurse/controlled/nurse_controlled_s1.png,nurse,controlled,females,black
images_sdxl/nurse/controlled/nurse_controlled_s2.png,nurse,controlled,female,black
images_sdxl/nurse/controlled/nurse_controlled_s3.png,nurse,controlled,female,black
images_sdxl/nurse/controlled/nurse_controlled_s4.png,nurse,controlled,female,black
images_sdxl/nurse/controlled/nurse_controlled_s5.png,nurse,controlled,female,black
images_sdxl/nurse/controlled/nurse_controlled_s6.png,nurse,controlled,female,black
images_sdxl/nurse/controlled/nurse_controlled_s7.png,nurse,controlled,female,black
images_sdxl/nurse/controlled/nurse_controlled_s8.png,nurse,controlled,female,black
images_sdxl/nurse/controlled/nurse_controlled_s9.png,nurse,controlled,female,black
images_sdxl/swe/baseline/swe_baseline_s0.png,swe,baseline, male,black
images_sdxl/swe/baseline/swe_baseline_s1.png,swe,baseline, male,white
images_sdxl/swe/baseline/swe_baseline_s2.png,swe,baseline, male,white
images_sdxl/swe/baseline/swe_baseline_s3.png,swe,baseline, male,black
images_sdxl/swe/baseline/swe_baseline_s4.png,swe,baseline, male,white
images_sdxl/swe/baseline/swe_baseline_s5.png,swe,baseline, male,black
images_sdxl/swe/baseline/swe_baseline_s6.png,swe,baseline, male,south asian 
images_sdxl/swe/baseline/swe_baseline_s7.png,swe,baseline, male,south asian 
images_sdxl/swe/baseline/swe_baseline_s8.png,swe,baseline, male,black
images_sdxl/swe/baseline/swe_baseline_s9.png,swe,baseline,male ,black
images_sdxl/swe/controlled/swe_controlled_s0.png,swe,controlled, male,black
images_sdxl/swe/controlled/swe_controlled_s1.png,swe,controlled,female,black
images_sdxl/swe/controlled/swe_controlled_s2.png,swe,controlled,male ,black
images_sdxl/swe/controlled/swe_controlled_s3.png,swe,controlled,female,black
images_sdxl/swe/controlled/swe_controlled_s4.png,swe,controlled,female,black
images_sdxl/swe/controlled/swe_controlled_s5.png,swe,controlled,male,black
images_sdxl/swe/controlled/swe_controlled_s6.png,swe,controlled,male,black
images_sdxl/swe/controlled/swe_controlled_s7.png,swe,controlled,male,black
images_sdxl/swe/controlled/swe_controlled_s8.png,swe,controlled,male,black
images_sdxl/swe/controlled/swe_controlled_s9.png,swe,controlled,male,black
images_sdxl/teacher/baseline/teacher_baseline_s0.png,teacher,baseline,female,white
images_sdxl/teacher/baseline/teacher_baseline_s1.png,teacher,baseline,female,white
images_sdxl/teacher/baseline/teacher_baseline_s2.png,teacher,baseline,female,white
images_sdxl/teacher/baseline/teacher_baseline_s3.png,teacher,baseline,female,white
images_sdxl/teacher/baseline/teacher_baseline_s4.png,teacher,baseline,female,white
images_sdxl/teacher/baseline/teacher_baseline_s5.png,teacher,baseline,female,white
images_sdxl/teacher/baseline/teacher_baseline_s6.png,teacher,baseline,female,white
images_sdxl/teacher/baseline/teacher_baseline_s7.png,teacher,baseline,female,white
images_sdxl/teacher/baseline/teacher_baseline_s8.png,teacher,baseline,female,white
images_sdxl/teacher/baseline/teacher_baseline_s9.png,teacher,baseline,female,white
images_sdxl/teacher/controlled/teacher_controlled_s0.png,teacher,controlled,female,south asian
images_sdxl/teacher/controlled/teacher_controlled_s1.png,teacher,controlled,female,south asian
images_sdxl/teacher/controlled/teacher_controlled_s2.png,teacher,controlled,female,south asian
images_sdxl/teacher/controlled/teacher_controlled_s3.png,teacher,controlled,female,south asian
images_sdxl/teacher/controlled/teacher_controlled_s4.png,teacher,controlled,female,south asian
images_sdxl/teacher/controlled/teacher_controlled_s5.png,teacher,controlled,female,south asian
images_sdxl/teacher/controlled/teacher_controlled_s6.png,teacher,controlled,female,south asian
images_sdxl/teacher/controlled/teacher_controlled_s7.png,teacher,controlled,female,south asian
images_sdxl/teacher/controlled/teacher_controlled_s8.png,teacher,controlled,female,south asian
images_sdxl/teacher/controlled/teacher_controlled_s9.png,teacher,controlled,female,south asian
images_sdxl/athlete/baseline/athlete_baseline_s0.png,athlete,baseline,male,black
images_sdxl/athlete/baseline/athlete_baseline_s1.png,athlete,baseline,male,black
images_sdxl/athlete/baseline/athlete_baseline_s2.png,athlete,baseline,male,black
images_sdxl/athlete/baseline/athlete_baseline_s3.png,athlete,baseline,male,black
images_sdxl/athlete/baseline/athlete_baseline_s4.png,athlete,baseline,male,black
images_sdxl/athlete/baseline/athlete_baseline_s5.png,athlete,baseline,male,black
images_sdxl/athlete/baseline/athlete_baseline_s6.png,athlete,baseline,male,black
images_sdxl/athlete/baseline/athlete_baseline_s7.png,athlete,baseline,male,black
images_sdxl/athlete/baseline/athlete_baseline_s8.png,athlete,baseline,male,black
images_sdxl/athlete/baseline/athlete_baseline_s9.png,athlete,baseline,male,black
images_sdxl/athlete/controlled/athlete_controlled_s0.png,athlete,controlled,female,black
images_sdxl/athlete/controlled/athlete_controlled_s1.png,athlete,controlled,female,black
images_sdxl/athlete/controlled/athlete_controlled_s2.png,athlete,controlled,female,black
images_sdxl/athlete/controlled/athlete_controlled_s3.png,athlete,controlled,female,black
images_sdxl/athlete/controlled/athlete_controlled_s4.png,athlete,controlled,female,black
images_sdxl/athlete/controlled/athlete_controlled_s5.png,athlete,controlled,female,black
images_sdxl/athlete/controlled/athlete_controlled_s6.png,athlete,controlled,female,black
images_sdxl/athlete/controlled/athlete_controlled_s7.png,athlete,controlled,female,black
images_sdxl/athlete/controlled/athlete_controlled_s8.png,athlete,controlled,female,black
images_sdxl/athlete/controlled/athlete_controlled_s9.png,athlete,controlled,female,black
